Word,Concreteness_Rating
Agnes,0
agnostic,2.000
agnostics,0
ago,1.420
agonies,0
agonize,1.970
agonized,0
agonizes,0
agonizing,2.000
agony,2.380
agoraphobia,1.920
agrarian,0
agree,2.310
agreeable,2.070
agreeableness,2.260
agreeably,2.030
agreed,1.930
agreeing,2.480
agreement,2.220
agreements,0
agrees,0
agricultural,3.290
agriculturalist,4.070
agriculturally,2.400
agriculture,3.670
agriculture's,0
agriculturist,3.040
Agrippa,0
agronomy,0
aground,3.220
ah,0
ahead,3.000
ahem,2.580
ahoy,2.000
aid,3.100
aide,3.590
aided,0
aides,3.750
aiding,0
aids,3.440
ail,0
ailerons,0
ailing,2.810
ailment,2.930
ailments,0
aim,3.270
aimed,0
aiming,3.000
aimless,1.570
aimlessly,1.860
aims,0
ain't,0
air,4.110
airbase,4.290
airbed,4.560
airbladder,0
airborne,3.450
airbrake,0
airbus,0
aircraft,4.400
aircraft's,0
aircrew,4.040
aircushion,0
airdrop,0
airdrops,0
aired,0
airfield,4.700
airfields,0
airflow,3.590
airforce,3.810
airframe,0
airily,0
airless,3.000
airlift,3.620
airline,4.000
airliner,4.450
airlines,0
airlock,0
airmail,3.660
airman's,0
airmen,0
airpark,3.880
airplane,4.960
airplanes,0
airport,4.870
airports,0
airs,0
airshaft,4.430
airship,4.920
airsick,3.500
airspace,3.580
airspeed,3.040
airstrip,4.680
airstrips,0
airtight,3.420
airway,4.340
airways,0
airy,2.040
aisle,4.350
ajar,3.270
akin,1.710
Akron,0
Al,0
Alabama,0
Alabamans,0
alabaster,3.810
Alamo,0
Alamogordo,0
Alan,0
alarm,4.470
alarmed,3.140
alarming,2.070
alarmingly,2.140
alarmist,2.620
alarms,0
alas,1.560
Alaska,0
albacore,3.710
Albania,0
Albanian,0
Albanians,0
Albany,0
albatross,4.810
albeit,1.460
Albert,0
albino,4.410
album,4.690
albumin,0
albums,0
alchemist,4.230
alchemy,2.100
alcohol,4.760
alcoholic,3.370
alcoholics,0
alcoholism,2.930
alcohols,0
alcove,4.080
alcoves,0
alderman,0
aldermen,0
ale,4.650
alehouse,4.400
alert,2.590
alerted,0
alerting,0
alertly,2.070
alertness,2.150
alerts,0
Alex,0
Alexander,0
Alexander's,0
Alexandria,0
Alexei,0
Alexis,0
Alex's,0
alfalfa,4.690
Alfonso,0
Alfred,0
alfredo,0
Alfred's,0
alga,0
algae,4.930
algaecide,0
algebra,3.140
algebraic,2.620
algebraically,2.290
Algeria,0
Algerian,0
Algerians,0
algorithm,3.070
alias,2.860
alibi,2.570
alibis,0
Alice,0
Alicia,0
alien,3.520
alienable,1.820
alienate,1.830
alienated,0
alienates,0
alienation,1.730
aliens,3.860
alight,2.960
align,2.790
aligned,0
aligning,0
alignment,3.260
alignments,0
alike,2.380
aliment,0
alimony,3.080
alive,3.140
alkali,0
alkaline,3.480
alkalis,0
all,2.270
Allah,0
Allan,0
allay,0
allegation,1.790
allegations,0
allege,1.760
alleged,1.820
allegedly,1.640
allegiance,1.770
allegiances,0
alleging,0
allegoric,1.720
allegorical,1.520
allegory,2.070
allegretto,0
allegro,0
Alleluia,0
Allen,0
Allen's,0
allergen,3.930
allergic,2.550
allergies,0
allergy,3.680
alleviate,2.480
alleviating,0
alleviation,2.150
alley,4.820
alleys,0
alleyway,4.300
alleyways,0
alliance,2.500
alliances,0
alliance's,0
allied,2.380
allies,3.480
alligator,4.960
alligatored,0
Allison,0
Allison's,0
alliterate,2.440
alliteration,2.250
alliterative,0
allocable,1.790
allocate,2.380
allocated,0
allocation,2.320
allocations,0
allopathic,0
allopathy,0
allot,0
alloted,0
allotment,2.880
allotments,0
allotted,0
allotting,0
allow,2.410
allowable,2.170
allowance,3.070
allowances,0
allowed,0
allowing,0
allows,0
alloy,4.290
alloys,0
allspice,4.540
alluded,0
alludes,0
alluding,0
allure,1.920
allurement,0
alluring,2.070
allusion,1.580
allusions,0
allusive,0
allusiveness,1.850
ally,2.610
almanac,4.440
Almighty,1.900
almond,4.710
almonds,0
almost,1.660
alms,0
aloe,4.830
aloes,0
aloft,2.640
alone,2.860
aloneness,1.750
along,2.140
alongside,2.820
aloof,1.460
aloofness,2.170
aloud,3.100
Alp,0
alpha,1.810
alphabet,4.310
alphabetic,3.040
alphabetical,3.070
alphabetized,0
Alpine,3.700
Alps,0
already,1.640
alright,1.930
Al's,0
also,1.830
altar,4.850
altarpiece,4.540
alter,3.070
alteration,3.210
alterations,0
altercate,0
altercation,3.210
altered,0
altering,0
alterman,0
alternate,2.430
alternated,0
alternately,2.030
alternating,2.480
alternation,3.000
alternative,2.460
alternatively,1.920
alternatives,0
alternator,4.270
alters,0
although,1.070
altitude,2.960
alto,3.370
altogether,2.360
altruism,1.500
altruist,0
altruistically,1.450
alum,3.960
aluminium,0
aluminum,4.880
alumnae,0
alumni,3.190
alveolar,0
alveoli,0
alveolus,0
always,1.710
am,1.960
amalgamate,0
amalgamated,0
amalgamation,0
amass,2.280
amassing,0
amateur,2.310
amateurish,1.930
amateurishness,1.800
amateurs,0
amatory,0
amaze,2.000
amazed,1.520
amazement,1.890
amazing,1.550
amazingly,1.580
Amazon,0
Amazonian,0
Amazons,0
ambassador,4.280
ambassadors,0
ambassador's,0
amber,4.350
ambiance,2.310
ambidextrous,3.630
ambience,1.720
ambient,2.040
ambiguities,0
ambiguity,1.300
ambiguous,1.480
ambition,1.740
ambitions,0
ambitious,1.810
ambitiously,1.780
ambivalence,1.700
ambivalent,1.210
amble,3.170
ambled,0
ambling,2.440
Ambrose,0
ambrosia,0
ambrosial,0
ambulance,4.810
ambulances,0
ambulatory,2.920
ambuscade,0
ambush,3.160
ambushed,0
ambushes,0
Amelia's,0
ameliorate,0
Amen,1.780
amenable,1.860
amend,2.320
amendable,1.850
amended,0
amending,0
amendment,2.440
amendments,0
amendment's,0
amenity,2.860
America,0
American,0
Americana,0
Americanize,1.790
Americans,0
American's,0
Americas,0
America's,0
amethyst,4.090
amiable,2.390
amicable,1.740
amicably,2.110
amid,2.270
amide,0
amidst,2.150
amigo,3.280
amino,2.740
amiss,1.530
amity,0
ammo,4.850
ammonia,4.440
ammonium,4.040
ammunition,4.880
amnesia,3.610
amnesty,2.180
amoeba,3.770
amok,2.000
among,2.380
amongst,2.810
amoral,1.460
amorality,1.640
amorist,0
amorous,0
amorphous,2.150
amorphously,1.960
amortization,0
amortize,0
amory,0
amount,2.740
amounted,0
amounting,0
amounts,0
amour,0
amp,3.590
ampere,0
ampersand,0
amphetamine,4.180
amphetamines,0
amphibian,3.770
amphibious,3.640
amphitheater,4.360
ample,2.500
amplification,2.930
amplified,0
amplifier,4.790
amplifiers,0
amplify,2.960
amplifying,0
amplitude,2.920
amply,2.000
amputate,3.900
amputated,0
amputation,3.760
amputee,4.790
Amsterdam,0
amuck,1.680
amulet,4.000
amulets,0
amuse,2.570
amused,1.960
amusedly,2.000
amusement,2.070
amusements,0
amusing,2.140
amusingly,2.000
Amy,0
an,1.460
anachronism,0
anachronisms,0
anachronistically,0
anaconda,4.930
anacondas,0
anaconda's,0
anaerobic,2.640
anaesthetic,0
anaesthetize,2.690
anagram,3.630
anal,3.300
analeptic,0
analogies,0
analogous,1.580
analogy,1.610
analysed,0
analyses,2.040
analysis,2.560
analyst,4.230
analysts,0
analyst's,0
analytic,1.800
analytical,1.860
analytically,1.820
analyzable,1.880
analyze,2.300
analyzed,0
analyzer,2.560
analyzes,0
analyzing,0
anarchic,1.750
anarchical,1.760
anarchism,1.920
anarchist,2.830
anarchy,2.120
anatomic,2.440
anatomical,3.070
anatomically,3.000
anatomy,3.590
ancestor,3.240
ancestors,3.360
ancestral,1.960
ancestry,2.830
anchor,4.770
Anchorage,3.480
anchored,3.720
anchoring,0
anchorman,4.720
anchors,0
anchovy,4.960
ancient,2.040
anciently,2.400
ancients,0
ancillary,0
and,1.520
andante,0
Andean,0
Andersen,0
Andover,0
Andre,0
Andrea,0
Andrew,0
androgynous,0
Andy,0
Andy's,0
anecdotal,2.000
anecdote,2.640
anecdotes,0
anemia,3.250
anemic,2.740
anemone,4.240
anesthetic,3.930
anesthetically,0
anesthetics,0
anesthetized,0
anew,1.720
angel,3.820
angelic,2.220
Angelica,0
Angelina,0
Angelo,0
Angelo's,0
angels,0
angel's,0
anger,2.410
angered,0
Angie,0
angle,3.500
angler,4.140
angles,3.590
Anglican,0
Anglicanism,0
Anglicans,0
Anglicism,0
Anglicize,0
angling,2.740
Anglophile,0
Anglophilia,0
Anglophobe,0
Anglophobia,0
Angola,0
Angora,0
angriest,0
angrily,2.520
angry,2.530
angst,1.960
anguish,2.380
anguished,2.280
angular,3.070
anhydrous,0
anhydrously,0
animal,4.610
animalism,0
animals,0
animal's,0
animate,3.040
animated,2.960
animation,3.410
animism,0
animosity,2.110
anion,0
anionic,0
aniseed,0
Anita,0
ankle,4.810
ankles,0
anklet,4.750
Ann,0
Anna,0
annals,0
Annapolis,0
Anne,0
Anne's,0
annex,4.000
annexation,2.320
Annie,0
annihilate,2.750
annihilation,2.690
anniversaries,0
anniversary,3.150
annotate,3.000
annotation,3.060
announce,3.310
announced,0
announcement,2.790
announcements,0
announcer,4.520
announcers,0
announcer's,0
announces,0
announcing,0
annoy,1.930
annoyance,2.140
annoyances,0
annoyed,2.890
annoying,2.310
annoys,0
Ann's,0
annual,1.780
annually,2.770
annuity,2.640
annul,2.280
annulment,2.250
annum,0
annunciated,0
annunciation,2.000
anode,0
anodes,0
anoint,2.840
anointment,2.800
anomalies,0
anomalous,0
anomaly,1.790
anomic,0
anomie,0
anon,0
anonymity,1.880
anonymous,2.030
anorexia,3.410
another,2.690
another's,0
answer,2.890
answerable,1.930
answered,0
answering,0
answers,0
ant,4.860
antacid,4.250
antagonism,2.330
antagonisms,0
antagonist,2.750
antagonistic,2.070
antagonists,0
antagonize,2.430
Antarctic,4.210
Antarctica,0
ante,3.000
anteater,4.860
antecede,0
antecedent,0
antecedents,0
antechamber,0
antedate,0
antelope,5.000
antenna,4.750
antennae,4.850
antennas,0
anterior,3.500
anteriors,0
anteroom,0
anthem,3.360
anthems,0
anthill,4.890
anthologize,0
anthology,3.070
Anthony,0
Anthony's,0
anthrax,4.440
anthropocentric,0
anthropoid,0
anthropological,2.290
anthropologist,4.000
anthropologists,0
anthropology,2.410
anthropomorphic,2.500
anthropomorphism,0
antiaircraft,3.480
antibiotic,4.430
antibiotics,4.450
antibodies,0
antibody,3.480
antic,2.160
anticipate,1.540
anticipated,0
anticipates,0
anticipating,0
anticipation,1.930
anticipations,0
anticipatory,1.690
anticlerical,0
anticlimax,1.810
anticoagulation,2.760
antics,2.600
antidote,3.420
Antietam,0
antifreeze,4.540
antifundamentalist,1.730
Antigua,0
antihero,2.720
antihistamine,3.680
antimatter,1.770
antipathy,1.550
antipersonnel,2.330
antiquary,0
antiquate,1.800
antiquated,2.220
antique,3.750
antiques,4.220
antiquities,0
antiquity,2.130
antiseptic,3.850
antiserum,0
antislavery,2.260
antisocial,1.860
antisubmarine,0
antitank,0
antithesis,2.270
antithyroid,0
antitoxin,3.160
antitrust,1.630
antler,4.860
Antoine,0
Antoine's,0
Antoinette,0
Antonio,0
antonym,2.810
ants,0
anus,4.860
anvil,4.960
anxieties,0
anxiety,2.210
anxious,1.680
anxiously,2.080
any,1.720
anybody,2.670
anybody's,0
anyhow,1.480
anymore,2.040
anyone,2.700
anyone's,0
anyplace,2.430
anything,1.380
anyway,1.680
anyways,1.590
anywhere,2.210
aorta,4.610
Apache,3.880
Apaches,0
apart,3.150
apartheid,0
apartment,4.900
apartments,4.710
apathetic,1.620
apathy,2.040
ape,4.790
aperitif,0
aperture,0
apex,3.410
aphasia,0
aphid,4.760
aphorism,0
aphrodisiac,3.190
Aphrodite,0
apiary,0
apiculture,0
apiece,0
apocalypse,2.210
apocalyptic,1.830
apogee,0
Apollo,0
Apollonian,0
Apollo's,0
apologetic,1.880
apologetically,1.660
apologies,0
apologist,2.970
apologize,2.630
apologized,0
apology,2.860
apoplexy,0
apostle,3.220
apostles,0
Apostolic,2.260
apostrophe,3.880
apothecary,3.760
appal,0
Appalachian,0
Appalachians,0
appalled,2.190
appalling,2.030
appallingly,2.110
apparatus,3.780
apparel,4.600
appareled,0
apparency,0
apparent,1.730
apparently,1.750
apparition,2.460
appeal,1.730
appealed,0
appealing,2.170
appeals,0
appear,3.130
appearance,2.570
appearances,0
appeared,0
appearing,0
appears,0
appease,1.930
appeased,0
appeasement,1.710
appeasing,1.790
appellant,0
appellate,0
append,2.040
appendage,4.260
appendages,0
appendectomy,4.420
appended,0
appendicitis,3.480
appendix,4.250
appendixes,0
appetite,2.740
appetites,0
appetizer,4.710
appetizing,2.100
applaud,3.800
applauded,0
applauding,0
applause,4.290
apple,5.000
apples,0
appliance,4.570
appliances,0
applicable,2.300
applicant,4.000
applicants,0
application,3.400
applications,0
applicator,4.260
applied,1.960
applies,0
apply,2.500
applying,0
appoint,2.240
appointed,0
appointee,3.500
appointees,0
appointing,0
appointment,3.000
appointments,0
appoints,0
apportion,0
apportioned,0
apportionment,0
apportionments,0
appraisal,3.110
appraisals,0
appraise,1.730
appraised,0
appraisers,0
appraising,1.830
appraisingly,1.720
appreciable,1.570
appreciably,1.690
appreciate,2.230
appreciated,0
appreciates,0
appreciating,0
appreciation,1.630
appreciations,0
appreciative,1.930
appreciatively,1.860
apprehend,2.820
apprehended,0
apprehension,1.680
apprehensions,0
apprehensive,1.970
apprehensively,1.720
apprentice,3.670
apprenticed,0
apprentices,0
apprenticeship,2.700
apprise,1.780
approach,2.740
approachable,2.180
approached,0
approaches,0
approaching,2.630
approbate,0
approbation,0
appropriate,2.000
appropriated,0
appropriately,1.790
appropriateness,2.070
appropriates,0
appropriating,0
appropriation,1.960
appropriations,0
approval,2.330
approve,1.850
approved,0
approves,0
approving,0
approvingly,1.880
approximate,2.030
approximated,0
approximately,2.540
approximation,1.850
approximations,0
apricot,4.970
April,3.330
apron,4.870
aprons,0
